ADDRESS_ID,ADDRESS_TYPE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,ADDRESS_LINE5,ADDRESS_LINE6,ADDRESS_LINE7,ADDRESS_LINE8,ADDRESS_NO,CONTACT_NO,LANGUAGE_ID,COMPANY_NAME0,COMPANY_NAME1,COMPANY_NAME2,COMPANY_NAME3,ADDRESS_SUP,CO_ENDORSEMENT,STREET,PO_BOX,MAIL_ZIP,MAIL_ZIP_SUP,MAIL_CITY,WHITE_MAIL_STOP,TEL,TEL_STOP,WEBSITE,EMAIL_POOL,GENDER_ID,GENDER,TITLE_ID,TITLE,FIRSTNAME,LASTNAME,LASTNAME2,LASTNAME2_TYPE,NAME_ATTRIBUTE,POSITION,SALUTATION,CANTON,ORGANIZATION_TYPE,COMPANY_FOUNDING,COM_REG_ENTRY,UID_NO,MAIN_ACTIVITY_CODE,MAIN_ACTIVITY_CODE_TEXT,NUM_EMPLOYEE_STAT,LEGAL_FORM_TEXT,SALES_STAT,LINE_SUP,Motorrad
90,B,Herr,Erwin Binz,Auto-& Motorradfahrschule,Bächlisbrunnenstrasse 26,1713 St. Antoni,,,,361799,743203,1,Herr,Erwin Binz,Auto-& Motorradfahrschule,,,,Bächlisbrunnenstrasse 26,,1713,0,St. Antoni,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Erwin,Binz,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Binz,FR,nicht bestellt,nicht bestellt,nicht bestellt,,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
737,B,Frau,Bernadette Stulz,Auto-école,Ächerli 45,1715 Alterswil FR,,,,1520600,1520601,1,Frau,Bernadette Stulz,Auto-école,,,,Ächerli 45,,1715,0,Alterswil FR,N,nicht bestellt,N,,nicht bestellt,2,Frau,,,Bernadette,Stulz,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Stulz,FR,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1942,B,Fahrschule Kurt Bürgisser,Ächerli 37,1715 Alterswil FR,,,,,,5204086,5204204,1,,Fahrschule Kurt Bürgisser,,,,,Ächerli 37,,1715,0,Alterswil FR,N,nicht bestellt,Y,,nicht bestellt,1,Herr,,,Kurt,Bürgisser,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Bürgisser,FR,nicht bestellt,nicht bestellt,nicht bestellt,CHE-257.198.053,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1206,B,Erwin Binz,Auto-& Motorradfahrschule,Hauptstrasse 25,1716 Plaffeien,,,,,3140895,0,1,,Erwin Binz,Auto-& Motorradfahrschule,,,,Hauptstrasse 25,,1716,0,Plaffeien,N,nicht bestellt,Y,,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,FR,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,NDL ohne HR,nicht bestellt,,ja
339,B,Aubi's Fahrschule,Herr Albert Brügger,Lindenweg 4,1736 St. Silvester,,,,,668932,1413326,1,,Aubi's Fahrschule,,,,,Lindenweg 4,,1736,0,St. Silvester,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Albert,Brügger,,,,Geschäftsführer/Inhaber#Einkaufsleiter#Informatikleiter#Finanzleiter#Personalleiter#Marketingleiter,Sehr geehrter Herr Brügger,FR,nicht bestellt,nicht bestellt,nicht bestellt,CHE-101.182.045,855300,Autofahrschulen & Flugschulen,01-Sep,GmbH,nicht bestellt,,nein
245,B,Klubschule Migros,Migros Aare,Unionsgasse 13,2500 Biel/Bienne,,,,,557271,0,1,,Klubschule Migros,,,Migros Aare,,Unionsgasse 13,,2500,0,Biel/Bienne,N,nicht bestellt,N,www.migros.ch,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,BE,nicht bestellt,nicht bestellt,nicht bestellt,,855901,Sprachschulen,Oct-19,NDL ohne HR,nicht bestellt,,ja
1000,B,Frau,Sarah Favre,Autofahrschule,Libellenweg 3,2502 Biel/Bienne,,,,1688585,1813344,1,Frau,Sarah Favre,Autofahrschule,,,,Libellenweg 3,,2502,0,Biel/Bienne,N,nicht bestellt,Y,,nicht bestellt,2,Frau,,,Sarah,Favre,,,,Geschäftsführer/Inhaber#Einkaufsleiter#Informatikleiter#Finanzleiter#Marketingleiter#Verkaufsleiter,Sehr geehrte Frau Favre,BE,nicht bestellt,nicht bestellt,nicht bestellt,CHE-112.049.545,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
571,B,Verkehrsausbildungs-Zentrum,Biel-Seeland (VZB),Herr Lukas Duss,Hans-Hugi-Strasse 2,2502 Biel/Bienne,,,,1277276,4483964,1,,Verkehrsausbildungs-Zentrum,Biel-Seeland (VZB),,,,Hans-Hugi-Strasse 2,,2502,0,Biel/Bienne,N,nicht bestellt,N,www.vzb.ch,nicht bestellt,1,Herr,,,Lukas,Duss,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Duss,BE,nicht bestellt,nicht bestellt,nicht bestellt,CHE-105.491.864,855300,Autofahrschulen & Flugschulen,01-Sep,GmbH,nicht bestellt,,ja
1431,B,Yvan Binggeli,TWY acupressure &,Binggo auto-école,Freiestrasse 2,2502 Biel/Bienne,,,,3629989,0,1,,Yvan Binggeli,TWY acupressure &,Binggo auto-école,,,Freiestrasse 2,,2502,0,Biel/Bienne,N,nicht bestellt,N,www.binggo.ch,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,BE,nicht bestellt,nicht bestellt,nicht bestellt,,869007B,Naturheilärzte & Heilpraktiker,01-Sep,NDL ohne HR,nicht bestellt,,ja
1927,B,Herr,Jean-Paul Lhérault,Driving-School-Richard DSRI,Bahnhofstrasse 1,2502 Biel/Bienne,,,,4637590,4637791,1,Herr,Jean-Paul Lhérault,Driving-School-Richard DSRI,,,,Bahnhofstrasse 1,,2502,0,Biel/Bienne,N,nicht bestellt,N,www.driving-school-richard.ch,nicht bestellt,1,Herr,,,Jean-Paul,Lhérault,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Lhérault,BE,nicht bestellt,nicht bestellt,nicht bestellt,CHE-468.809.146,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
